label,subclass,target_name,run_id,group_id,frame_id,trajectory,tilt,roll,source_image,json_label,crop_type,x_min,y_min,x_max,y_max,file
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_172851,100lbs_bomb/2023-09-20_172851,0253,L to R (z: 750),-22°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172851\gopro\0253.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172851\labels\0253.json,bbox_x3_margin,608,355,1342,893,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_172851__0253.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_172851,100lbs_bomb/2023-09-20_172851,0430,L to R (z: 750),-22°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172851\gopro\0430.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172851\labels\0430.json,bbox_x3_margin,470,411,1495,819,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_172851__0430.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_172851,100lbs_bomb/2023-09-20_172851,0607,L to R (z: 750),-22°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172851\gopro\0607.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172851\labels\0607.json,bbox_x3_margin,406,436,1528,836,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_172851__0607.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_172851,100lbs_bomb/2023-09-20_172851,0784,L to R (z: 750),-22°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172851\gopro\0784.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172851\labels\0784.json,bbox_x3_margin,416,389,1375,895,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_172851__0784.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_172851,100lbs_bomb/2023-09-20_172851,0961,L to R (z: 750),-22°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172851\gopro\0961.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_172851\labels\0961.json,bbox_x3_margin,680,377,1366,1063,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_172851__0961.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_173329,100lbs_bomb/2023-09-20_173329,0154,L to R (z: 750),-22°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173329\gopro\0154.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173329\labels\0154.json,bbox_x3_margin,691,344,1229,985,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_173329__0154.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_173329,100lbs_bomb/2023-09-20_173329,0344,L to R (z: 750),-22°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173329\gopro\0344.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173329\labels\0344.json,bbox_x3_margin,523,352,1379,935,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_173329__0344.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_173329,100lbs_bomb/2023-09-20_173329,0535,L to R (z: 750),-22°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173329\gopro\0535.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173329\labels\0535.json,bbox_x3_margin,470,414,1519,843,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_173329__0535.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_173329,100lbs_bomb/2023-09-20_173329,0726,L to R (z: 750),-22°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173329\gopro\0726.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173329\labels\0726.json,bbox_x3_margin,471,492,1356,807,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_173329__0726.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_173329,100lbs_bomb/2023-09-20_173329,0916,L to R (z: 750),-22°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173329\gopro\0916.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173329\labels\0916.json,bbox_x3_margin,664,473,1334,958,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_173329__0916.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_173615,100lbs_bomb/2023-09-20_173615,0159,L to R (z: 750),-22°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173615\gopro\0159.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173615\labels\0159.json,bbox_x3_margin,611,258,1920,1080,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_173615__0159.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_173615,100lbs_bomb/2023-09-20_173615,0358,L to R (z: 750),-22°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173615\gopro\0358.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173615\labels\0358.json,bbox_x3_margin,593,371,1920,1080,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_173615__0358.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_173615,100lbs_bomb/2023-09-20_173615,0557,L to R (z: 750),-22°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173615\gopro\0557.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173615\labels\0557.json,bbox_x3_margin,620,253,1920,1080,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_173615__0557.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_173615,100lbs_bomb/2023-09-20_173615,0756,L to R (z: 750),-22°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173615\gopro\0756.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173615\labels\0756.json,bbox_x3_margin,627,234,1920,1080,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_173615__0756.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_173615,100lbs_bomb/2023-09-20_173615,0955,L to R (z: 750),-22°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173615\gopro\0955.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_173615\labels\0955.json,bbox_x3_margin,640,362,1920,1080,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_173615__0955.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174200,100lbs_bomb/2023-09-20_174200,0158,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174200\gopro\0158.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174200\labels\0158.json,bbox_x3_margin,599,289,1288,869,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174200__0158.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174200,100lbs_bomb/2023-09-20_174200,0344,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174200\gopro\0344.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174200\labels\0344.json,bbox_x3_margin,528,348,1524,777,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174200__0344.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174200,100lbs_bomb/2023-09-20_174200,0530,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174200\gopro\0530.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174200\labels\0530.json,bbox_x3_margin,331,388,1478,767,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174200__0530.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174200,100lbs_bomb/2023-09-20_174200,0715,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174200\gopro\0715.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174200\labels\0715.json,bbox_x3_margin,370,336,1337,837,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174200__0715.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174200,100lbs_bomb/2023-09-20_174200,0901,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174200\gopro\0901.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174200\labels\0901.json,bbox_x3_margin,678,316,1359,1010,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174200__0901.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174439,100lbs_bomb/2023-09-20_174439,0188,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174439\gopro\0188.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174439\labels\0188.json,bbox_x3_margin,608,296,1342,847,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174439__0188.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174439,100lbs_bomb/2023-09-20_174439,0371,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174439\gopro\0371.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174439\labels\0371.json,bbox_x3_margin,456,350,1476,766,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174439__0371.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174439,100lbs_bomb/2023-09-20_174439,0554,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174439\gopro\0554.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174439\labels\0554.json,bbox_x3_margin,321,384,1452,771,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174439__0554.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174439,100lbs_bomb/2023-09-20_174439,0738,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174439\gopro\0738.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174439\labels\0738.json,bbox_x3_margin,428,327,1366,846,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174439__0738.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174439,100lbs_bomb/2023-09-20_174439,0921,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174439\gopro\0921.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174439\labels\0921.json,bbox_x3_margin,667,316,1340,1010,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174439__0921.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174711,100lbs_bomb/2023-09-20_174711,0148,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174711\gopro\0148.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174711\labels\0148.json,bbox_x3_margin,650,295,1364,854,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174711__0148.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174711,100lbs_bomb/2023-09-20_174711,0325,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174711\gopro\0325.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174711\labels\0325.json,bbox_x3_margin,496,349,1487,770,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174711__0325.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174711,100lbs_bomb/2023-09-20_174711,0502,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174711\gopro\0502.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174711\labels\0502.json,bbox_x3_margin,362,387,1504,771,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174711__0502.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174711,100lbs_bomb/2023-09-20_174711,0680,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174711\gopro\0680.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174711\labels\0680.json,bbox_x3_margin,398,336,1378,834,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174711__0680.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_174711,100lbs_bomb/2023-09-20_174711,0857,L to R (z: 725),-26°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174711\gopro\0857.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_174711\labels\0857.json,bbox_x3_margin,533,322,1222,992,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_174711__0857.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_175000,100lbs_bomb/2023-09-20_175000,0135,L to R (z: 725),-26°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175000\gopro\0135.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175000\labels\0135.json,bbox_x3_margin,640,281,1133,991,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_175000__0135.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_175000,100lbs_bomb/2023-09-20_175000,0333,L to R (z: 725),-26°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175000\gopro\0333.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175000\labels\0333.json,bbox_x3_margin,681,63,1041,1017,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_175000__0333.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_175000,100lbs_bomb/2023-09-20_175000,0531,L to R (z: 725),-26°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175000\gopro\0531.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175000\labels\0531.json,bbox_x3_margin,698,0,1114,949,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_175000__0531.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_175000,100lbs_bomb/2023-09-20_175000,0729,L to R (z: 725),-26°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175000\gopro\0729.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175000\labels\0729.json,bbox_x3_margin,666,249,1119,1080,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_175000__0729.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_175000,100lbs_bomb/2023-09-20_175000,0927,L to R (z: 725),-26°,90°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175000\gopro\0927.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175000\labels\0927.json,bbox_x3_margin,673,565,1253,1080,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_175000__0927.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_175506,100lbs_bomb/2023-09-20_175506,0143,L to R (z: 500),-34°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175506\gopro\0143.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175506\labels\0143.json,bbox_x3_margin,621,284,1278,901,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_175506__0143.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_175506,100lbs_bomb/2023-09-20_175506,0326,L to R (z: 500),-34°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175506\gopro\0326.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175506\labels\0326.json,bbox_x3_margin,566,360,1501,792,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_175506__0326.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_175506,100lbs_bomb/2023-09-20_175506,0509,L to R (z: 500),-34°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175506\gopro\0509.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175506\labels\0509.json,bbox_x3_margin,452,401,1501,796,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_175506__0509.jpg
UXO,100lbs_aircraft_bomb,100lbs_bomb,2023-09-20_175506,100lbs_bomb/2023-09-20_175506,0693,L to R (z: 500),-34°,0°,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175506\gopro\0693.jpg,C:\Users\stephenxxy\Desktop\project\recordings\100lbs_bomb\2023-09-20_175506\labels\0693.json,bbox_x3_margin,447,339,1329,858,C:\Users\stephenxxy\Desktop\project\uxo_project\aux_recordings_optical_v1\UXO\100lbs_aircraft_bomb\100lbs_bomb__2023-09-20_175506__0693.jpg
